Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['OTC_CRERF_2023', 'munich-re_2023']","['72', '47']","['0', '0']",10200000.0,['OTC_CRERF'],m3,"[2023, 2022]",Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,multistep_sup,303,OTC_CRERF
1,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",60.1,['OTC_SU'],,"[2023, 2022]",What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,60.1
2,"['NASDAQ_DASTY_2023', 'deutsche-telekom-ag_2023']","['117', '46']","['0', '0']",12747000.0,['deutsche-telekom-ag'],MWh,"[2023, 2022]",Which company has the highest average energy consumed in the last 2 years among the following companies in MWh?,multistep_sup,302,deutsche-telekom-ag
3,"['OTC_BAMGF_2023', 'vivendi_2023']","['311', '140']","['0', '0']",12.13,['vivendi'],,"[2023, 2022]",Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,multistep_sup,306,vivendi
4,"['munich-re_2023', 'prosiebensat1-media_2023']","['47', '64']","['1', '0']",66.35,['prosiebensat1-media'],GWh,"[2023, 2022]",Which company has the lowest total energy consumption over the last 2 years among the following companies in GWh?,multistep_sup,302,prosiebensat1-media
5,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[ 15.66 378.  ],"['OTC_SU', 'NYSE_TTE']",kt,"[2023, 2022]",Which companies have the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,multistep_rank,306,"OTC_SU, NYSE_TTE"
6,"['OTC_SU_2023', 'deutsche-telekom-ag_2023']","['310', '46']","['1', '0']",7.64,['deutsche-telekom-ag'],,"[2023, 2022]",Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,deutsche-telekom-ag
7,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[378.    15.66],"['NYSE_TTE', 'OTC_SU']",kt,"[2023, 2022]",Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in kt?,multistep_rank,306,"NYSE_TTE, OTC_SU"
8,"['OTC_ADDDF_2023', 'vivendi_2023']","['84', '105']","['0', '0']",0.87,[],,[2022],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_mean,305,0.87
9,"['OTC_ESOCF_2023', 'axa_2023']","['137', '179']","['0', '0']",959708.0,['axa'],tCO2eq,"[2023, 2022]",What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2eq?,multistep_sup,305,959708.0
10,"['OTC_BAMGF_2023', 'munich-re_2023']","['310', '47']","['0', '0']",4944652.5,['OTC_BAMGF'],m3,"[2023, 2022]",What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,multistep_sup,303,4944652.5
11,"['OTC_DPSGY_2023', 'heidelberg-materials_2023']","['3', '374']","['0', '0']",360126.0,['OTC_DPSGY'],TJ,"[2023, 2022, 2021]",Which company has the lowest total energy consumption over the last 3 years among the following companies in TJ?,multistep_sup,302,OTC_DPSGY
12,"['OTC_BAYZF_2023', 'munich-re_2023']","['63', '46']","['0', '0']",[1.9  0.04],"['OTC_BAYZF', 'munich-re']",Million metric tons of CO2 equivalents,"[2023, 2022]",What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,multistep_rank,305,"1.9, 0.04"
13,"['OTC_SU_2023', 'heidelberg-materials_2023']","['309', '358']","['0', '0']",6.16,['OTC_SU'],,[2022],Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,multistep_sup,306,OTC_SU
14,"['OTC_SU_2023', 'vivendi_2023']","['309', '140']","['0', '0']",7.92,['vivendi'],,[2023],What is the highest percentage of hazardous waste generated in 2023 among the following companies?,multistep_sup,306,7.92
15,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",61.05,['OTC_ESOCF'],,[2023],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,61.05
16,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",74.7,['OTC_ESOCF'],,[2022],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,OTC_ESOCF
17,"['NASDAQ_DASTY_2023', 'deutsche-telekom-ag_2023']","['117', '46']","['0', '0']",25647984,[],MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,multistep_sum,302,25647984
18,"['OTC_BAMGF_2023', 'OTC_CRERF_2023']","['310', '72']","['0', '0']",[20400000.  9889305.],"['OTC_CRERF', 'OTC_BAMGF']",m3,"[2023, 2022]",Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,multistep_rank,303,"OTC_CRERF, OTC_BAMGF"
19,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",[7.92 6.  ],"['vivendi', 'heidelberg-materials']",,[2023],What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,multistep_rank,306,"7.92, 6.0"
20,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",98.83,['OTC_ESOCF'],MtCO2eq,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,multistep_sup,305,98.83
21,"['NYSE_TTE_2023', 'OTC_BAMGF_2023']","['387', '311']","['3', '0']",873133.5,['OTC_BAMGF'],t,"[2023, 2022]",Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in t?,multistep_sup,306,OTC_BAMGF
22,"['NYSE_TTE_2023', 'vivendi_2023']","['387', '140']","['3', '0']",63.32,['NYSE_TTE'],,[2023],What is the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,multistep_sup,306,63.32
23,"['OTC_SU_2023', 'heidelberg-materials_2023']","['309', '358']","['0', '0']",6.05,[],,[2023],What is the average percentage of hazardous waste generated in 2023 among the following companies?,multistep_mean,306,6.05
24,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",109300000.0,['OTC_RWNEF'],tCO2e,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,multistep_sup,305,OTC_RWNEF
25,"['OTC_DPSGY_2023', 'heidelberg-materials_2023']","['3', '374']","['0', '0']",360126.0,['OTC_DPSGY'],TJ,"[2023, 2022, 2021]",What is the lowest total energy consumption over the last 3 years among the following companies in TJ?,multistep_sup,302,360126.0
26,"['OTC_RWNEF_2023', 'axa_2023']","['79', '179']","['0', '0']",358.82,['OTC_RWNEF'],,[2022],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,358.82
27,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",[21490.  21817.5],"['axa', 'OTC_ADDDF']",tons CO2e,"[2023, 2022]",Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tons CO2e?,multistep_rank,305,"axa, OTC_ADDDF"
28,"['NASDAQ_DASTY_2023', 'axa_2023']","['141', '179']","['0', '0']",[ 4327. 21490.],"['NASDAQ_DASTY', 'axa']",tCO2eq,"[2023, 2022]",What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,multistep_rank,305,"4327.0, 21490.0"
29,"['axa_2023', 'vivendi_2023']","['179', '105']","['0', '0']",21490.0,['axa'],TCO2eq,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in TCO2eq?,multistep_sup,305,21490.0
30,"['OTC_SU_2023', 'vivendi_2023']","['309', '140']","['0', '0']",[15664  3751],"['OTC_SU', 'vivendi']",tons,"[2023, 2022]",Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,multistep_rank,306,"OTC_SU, vivendi"
31,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",62.9,['OTC_SU'],,[2023],What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_sup,302,62.9
32,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",133.03,['OTC_ESOCF'],Million metric tons of CO2 equivalents,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,multistep_sup,305,133.03
33,"['NASDAQ_DASTY_2023', 'OTC_SU_2023']","['117', '310']","['0', '1']",[  76992.  1162801.5],"['NASDAQ_DASTY', 'OTC_SU']",MWh,"[2023, 2022]",Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"NASDAQ_DASTY, OTC_SU"
34,"['deutsche-telekom-ag_2023', 'munich-re_2023']","['46', '47']","['0', '1']",564614,['munich-re'],MWh,"[2023, 2022]",What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,multistep_sup,302,564614
35,"['OTC_ESOCF_2023', 'axa_2023']","['137', '179']","['0', '0']",959708.0,['axa'],tCO2eq,"[2023, 2022]",Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2eq?,multistep_sup,305,axa
36,"['OTC_CRERF_2023', 'vivendi_2023']","['79', '140']","['0', '0']",10697.5,['vivendi'],tonnes,"[2023, 2022]",What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,multistep_sup,306,10697.5
37,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",133.03,['OTC_ESOCF'],Million metric tons of CO2 equivalents,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,multistep_sup,305,OTC_ESOCF
38,"['NYSE_AZ_2023', 'munich-re_2023']","['60', '46']","['0', '0']",38378.5,['munich-re'],tCO2e,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,multistep_sup,305,38378.5
39,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",5.72,['axa'],,[2022],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,axa
40,"['axa_2023', 'vivendi_2023']","['179', '105']","['0', '0']",[21490.  10759.5],"['axa', 'vivendi']",tCO2eq,"[2023, 2022]",Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2eq?,multistep_rank,305,"axa, vivendi"
41,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",25.7,[],kt,"[2023, 2022]",What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,multistep_mean,306,25.7
42,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",5.72,['axa'],,[2022],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,5.72
43,"['NYSE_TTE_2023', 'OTC_DPSGY_2023']","['381', '3']","['0', '0']",2.16,['OTC_DPSGY'],,"[2023, 2022]",Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,multistep_sup,302,OTC_DPSGY
44,"['OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['63', '79']","['0', '0']",83.7,['OTC_RWNEF'],million mt CO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,multistep_sup,305,OTC_RWNEF
45,"['OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['63', '79']","['0', '0']",83.7,['OTC_RWNEF'],million mt CO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,multistep_sup,305,83.7
46,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",17.59,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,17.59
47,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",[154.5    1.22],"['NYSE_TTE', 'OTC_SU']",TWh,"[2023, 2022, 2021, 2020]",Which companies have the top 2 highest values of average energy consumed in the last 4 years (sorted in descending order) among the following companies in TWh?,multistep_rank,302,"NYSE_TTE, OTC_SU"
48,"['OTC_BAMGF_2023', 'OTC_ESOCF_2023']","['310', '139']","['0', '0']",[ 9.89 80.6 ],"['OTC_BAMGF', 'OTC_ESOCF']",millions of m3,"[2023, 2022]",What are the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,multistep_rank,303,"9.89, 80.6"
49,"['NYSE_TTE_2023', 'prosiebensat1-media_2023']","['381', '64']","['0', '0']",66.59,['prosiebensat1-media'],,"[2023, 2022]",Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,prosiebensat1-media
50,"['NYSE_TTE_2023', 'heidelberg-materials_2023']","['387', '358']","['3', '0']",4.62,['NYSE_TTE'],,"[2023, 2022]",Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,multistep_sup,306,NYSE_TTE
51,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",98.83,['OTC_ESOCF'],MtCO2eq,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,multistep_sup,305,OTC_ESOCF
52,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",109300000.0,['OTC_RWNEF'],tCO2e,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,multistep_sup,305,109300000.0
53,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023']","['141', '63']","['0', '0']",1900000.0,['OTC_BAYZF'],tCO2-eq,"[2023, 2022]",Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,multistep_sup,305,OTC_BAYZF
54,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023']","['84', '63']","['0', '0']",0.7,[],,"[2023, 2022]",What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,multistep_mean,305,0.7
55,"['NYSE_AZ_2023', 'OTC_ADDDF_2023']","['60', '84']","['0', '0']",[31363.5 21817.5],"['NYSE_AZ', 'OTC_ADDDF']",tons CO2e,"[2023, 2022]",Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tons CO2e?,multistep_rank,305,"NYSE_AZ, OTC_ADDDF"
56,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023']","['310', '132']","['0', '0']",6.72,['OTC_BAYZF'],million cubic meters,"[2023, 2022]",What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,multistep_sup,303,6.72
57,"['NYSE_AZ_2023', 'munich-re_2023']","['60', '46']","['0', '0']",3086777,['munich-re'],tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,munich-re
58,"['OTC_SU_2023', 'heidelberg-materials_2023']","['310', '374']","['1', '0']",[ 1217031.33 96302762.23],"['OTC_SU', 'heidelberg-materials']",MWh,"[2023, 2022, 2021]",What are the top 2 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"1217031.33, 96302762.23"
59,"['OTC_SU_2023', 'deutsche-telekom-ag_2023']","['310', '46']","['1', '0']",7.64,['deutsche-telekom-ag'],,"[2023, 2022]",What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,7.64
60,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",60.1,['OTC_SU'],,"[2023, 2022]",Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,OTC_SU
61,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",[7.92 6.  ],"['vivendi', 'heidelberg-materials']",,[2023],Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,multistep_rank,306,"vivendi, heidelberg-materials"
62,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[ 15.66 378.  ],"['OTC_SU', 'NYSE_TTE']",kt,"[2023, 2022]",What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,multistep_rank,306,"15.66, 378.0"
63,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",4867939.0,['OTC_SU'],MWh,"[2023, 2022, 2021, 2020]",What is the lowest total energy consumption over the last 4 years among the following companies in MWh?,multistep_sup,302,4867939.0
64,"['OTC_ADDDF_2023', 'munich-re_2023']","['84', '46']","['0', '0']",7799933.0,['OTC_ADDDF'],tCO2e,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,multistep_sup,305,7799933.0
65,"['OTC_DPSGY_2023', 'prosiebensat1-media_2023']","['3', '64']","['0', '0']",69615.35,[],million kWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,multistep_sum,302,69615.35
66,"['munich-re_2023', 'vivendi_2023']","['46', '105']","['0', '0']",1.24,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,1.24
67,"['NYSE_TTE_2023', 'prosiebensat1-media_2023']","['381', '64']","['0', '0']",66.59,['prosiebensat1-media'],,"[2023, 2022]",What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,66.59
68,"['NYSE_TTE_2023', 'OTC_DPSGY_2023']","['381', '3']","['0', '0']",5.0,[],,[2023],What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_mean,302,5.0
69,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023']","['117', '381']","['0', '0']",161.5,['NYSE_TTE'],TWh,"[2023, 2022]",Which company has the highest average energy consumed in the last 2 years among the following companies in TWh?,multistep_sup,302,NYSE_TTE
70,"['heidelberg-materials_2023', 'munich-re_2023']","['374', '47']","['0', '1']",[338421.5    1016.31],"['heidelberg-materials', 'munich-re']",TJ,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,multistep_rank,302,"338421.5, 1016.31"
71,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",248676.0,['NYSE_AZ'],tCO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,248676.0
72,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",32.84,['NYSE_AZ'],,[2023],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,32.84
73,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",196.83,[],kt,"[2023, 2022]",What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,multistep_mean,306,196.83
74,"['OTC_SU_2023', 'prosiebensat1-media_2023']","['310', '64']","['1', '0']",66.12,['prosiebensat1-media'],,[2022],Which company has the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,multistep_sup,302,prosiebensat1-media
75,"['NYSE_AZ_2023', 'OTC_BAYZF_2023']","['60', '63']","['0', '0']",33.47,['NYSE_AZ'],,[2022],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,NYSE_AZ
76,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[378.    15.66],"['NYSE_TTE', 'OTC_SU']",kt,"[2023, 2022]",What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in kt?,multistep_rank,306,"378.0, 15.66"
