Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
156,"['NASDAQ_DASTY_2023', 'axa_2023']","['141', '179']","['0', '0']",[ 4327. 21490.],"['NASDAQ_DASTY', 'axa']",tCO2eq,"[2023, 2022]",Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,multistep_rank,305,"NASDAQ_DASTY, axa"
157,"['NYSE_TTE_2023', 'deutsche-telekom-ag_2023']","['381', '46']","['0', '0']",[154500.  12915.],"['NYSE_TTE', 'deutsche-telekom-ag']",GWh,"[2023, 2022, 2021, 2020]",Which companies have the top 2 highest values of average energy consumed in the last 4 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"NYSE_TTE, deutsche-telekom-ag"
158,"['NYSE_AZ_2023', 'OTC_BAYZF_2023']","['60', '63']","['0', '0']",540925.0,['NYSE_AZ'],tCO2e,"[2023, 2022]",What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,multistep_sup,305,540925.0
159,"['OTC_SU_2023', 'heidelberg-materials_2023']","['309', '358']","['0', '0']",6.56,['OTC_SU'],,[2022],Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,multistep_sup,306,OTC_SU
160,"['OTC_SU_2023', 'heidelberg-materials_2023']","['309', '358']","['0', '0']",6.16,['OTC_SU'],,[2022],What is the highest percentage of hazardous waste generated in 2022 among the following companies?,multistep_sup,306,6.16
161,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['132', '139']","['0', '0']",1.8,['OTC_BAYZF'],,"[2023, 2022]",What is the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,multistep_sup,303,1.8
162,"['munich-re_2023', 'prosiebensat1-media_2023']","['47', '64']","['1', '0']",[282.31  33.17],"['munich-re', 'prosiebensat1-media']",GWh,"[2023, 2022]",Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"munich-re, prosiebensat1-media"
163,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",714.8,['heidelberg-materials'],kt,"[2023, 2022]",What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,multistep_sup,306,714.8
164,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['84', '79']","['0', '0']",73.65,['OTC_RWNEF'],million mt CO2e,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,multistep_sup,305,73.65
165,"['NYSE_TTE_2023', 'heidelberg-materials_2023']","['381', '374']","['0', '0']",5.2,[],,"[2023, 2022]",What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_mean,302,5.2
166,"['OTC_SU_2023', 'munich-re_2023']","['310', '47']","['1', '1']",1162801.5,['OTC_SU'],MWh,"[2023, 2022]",Which company has the highest average energy consumed in the last 2 years among the following companies in MWh?,multistep_sup,302,OTC_SU
167,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",6059047.0,['OTC_ADDDF'],tons CO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tons CO2e?,multistep_sup,305,6059047.0
168,"['NYSE_AZ_2023', 'OTC_RWNEF_2023']","['60', '79']","['0', '0']",[7.365e+01 3.000e-02],"['OTC_RWNEF', 'NYSE_AZ']",million mt CO2e,"[2023, 2022]",Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,multistep_rank,305,"OTC_RWNEF, NYSE_AZ"
169,"['NYSE_AZ_2023', 'munich-re_2023']","['60', '46']","['0', '0']",38378.5,['munich-re'],tCO2e,"[2023, 2022]",Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,multistep_sup,305,munich-re
170,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",8.61,['vivendi'],,[2023],Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,multistep_sup,306,vivendi
171,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",35.09,['vivendi'],,[2022],What is the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,multistep_sup,306,35.09
172,"['NYSE_AZ_2023', 'vivendi_2023']","['60', '105']","['0', '0']",[31363.5 10759.5],"['NYSE_AZ', 'vivendi']",tCO2e,"[2023, 2022]",Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,multistep_rank,305,"NYSE_AZ, vivendi"
173,"['NASDAQ_DASTY_2023', 'deutsche-telekom-ag_2023']","['117', '46']","['0', '0']",12747000.0,['deutsche-telekom-ag'],MWh,"[2023, 2022]",What is the highest average energy consumed in the last 2 years among the following companies in MWh?,multistep_sup,302,12747000.0
174,"['OTC_SU_2023', 'heidelberg-materials_2023']","['310', '374']","['1', '0']",3651094.0,['OTC_SU'],MWh,"[2023, 2022, 2021]",Which company has the lowest total energy consumption over the last 3 years among the following companies in MWh?,multistep_sup,302,OTC_SU
175,"['OTC_SU_2023', 'prosiebensat1-media_2023']","['310', '64']","['1', '0']",67.06,['prosiebensat1-media'],,[2023],Which company has the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_sup,302,prosiebensat1-media
176,"['OTC_SU_2023', 'vivendi_2023']","['309', '140']","['0', '0']",[15664  3751],"['OTC_SU', 'vivendi']",tons,"[2023, 2022]",What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,multistep_rank,306,"15664, 3751"
177,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['84', '79']","['0', '0']",13.86,['OTC_ADDDF'],million mt CO2e,"[2023, 2022]",Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in million mt CO2e?,multistep_sup,305,OTC_ADDDF
178,"['deutsche-telekom-ag_2023', 'munich-re_2023']","['46', '47']","['0', '1']",564614,['munich-re'],MWh,"[2023, 2022]",Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,multistep_sup,302,munich-re
179,"['OTC_BAMGF_2023', 'OTC_CRERF_2023']","['311', '79']","['0', '0']",873133.5,['OTC_BAMGF'],tonnes,"[2023, 2022]",Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,multistep_sup,306,OTC_BAMGF
180,"['NYSE_TTE_2023', 'OTC_DPSGY_2023']","['381', '3']","['0', '0']",2.16,['OTC_DPSGY'],,"[2023, 2022]",What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,multistep_sup,302,2.16
181,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",[ 3751. 47652.],"['vivendi', 'heidelberg-materials']",tons,"[2023, 2022]",What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,multistep_rank,306,"3751.0, 47652.0"
182,"['NYSE_AZ_2023', 'OTC_BAYZF_2023']","['60', '63']","['0', '0']",540925.0,['NYSE_AZ'],tCO2e,"[2023, 2022]",Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,multistep_sup,305,NYSE_AZ
183,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['132', '139']","['0', '0']",[80.6  13.44],"['OTC_ESOCF', 'OTC_BAYZF']",millions of m3,"[2023, 2022]",Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,multistep_rank,303,"OTC_ESOCF, OTC_BAYZF"
184,"['OTC_BAYZF_2023', 'OTC_CRERF_2023']","['132', '72']","['0', '0']",16.92,[],millions of cu.m,"[2023, 2022]","What is the average total water consumption across the following companies, calculated as the sum of their 2023 and 2022 consumption in millions of cu.m?",multistep_mean,303,16.92
185,"['NASDAQ_DASTY_2023', 'prosiebensat1-media_2023']","['117', '64']","['0', '0']",84.0,['NASDAQ_DASTY'],,[2022],Which company has the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,multistep_sup,302,NASDAQ_DASTY
186,"['NYSE_TTE_2023', 'OTC_SU_2023']","['381', '310']","['0', '1']",[154.5    1.22],"['NYSE_TTE', 'OTC_SU']",TWh,"[2023, 2022, 2021, 2020]",What are the top 2 highest values of average energy consumed in the last 4 years (sorted in descending order) among the following companies in TWh?,multistep_rank,302,"154.5, 1.22"
187,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",[4.000e-02 7.365e+01],"['munich-re', 'OTC_RWNEF']",million mt CO2e,"[2023, 2022]",Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in million mt CO2e?,multistep_rank,305,"munich-re, OTC_RWNEF"
188,"['deutsche-telekom-ag_2023', 'munich-re_2023']","['46', '47']","['0', '1']",[12747.     282.31],"['deutsche-telekom-ag', 'munich-re']",GWh,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"12747.0, 282.31"
189,"['NYSE_TTE_2023', 'vivendi_2023']","['387', '140']","['3', '0']",38.77,['NYSE_TTE'],,[2023],Which company has the highest percentage of hazardous waste generated in 2023 among the following companies?,multistep_sup,306,NYSE_TTE
190,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",8.61,['vivendi'],,[2023],What is the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,multistep_sup,306,8.61
191,"['OTC_SU_2023', 'heidelberg-materials_2023']","['309', '358']","['0', '0']",[2.   6.16],"['heidelberg-materials', 'OTC_SU']",,[2022],What are the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,multistep_rank,306,"2.0, 6.16"
192,"['OTC_BAMGF_2023', 'munich-re_2023']","['310', '47']","['0', '0']",[ 909727 9889305],"['munich-re', 'OTC_BAMGF']",m3,"[2023, 2022]",What are the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,multistep_rank,303,"909727, 9889305"
193,"['OTC_CRERF_2023', 'munich-re_2023']","['72', '47']","['0', '0']",10200000.0,['OTC_CRERF'],m3,"[2023, 2022]",What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,multistep_sup,303,10200000.0
194,"['OTC_BAMGF_2023', 'vivendi_2023']","['311', '140']","['0', '0']",12.13,['vivendi'],,"[2023, 2022]",What is the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,multistep_sup,306,12.13
195,"['OTC_SU_2023', 'prosiebensat1-media_2023']","['310', '64']","['1', '0']",67.06,['prosiebensat1-media'],,[2023],What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_sup,302,67.06
196,"['munich-re_2023', 'prosiebensat1-media_2023']","['47', '64']","['1', '0']",[282.31  33.17],"['munich-re', 'prosiebensat1-media']",GWh,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"282.31, 33.17"
197,"['NYSE_AZ_2023', 'vivendi_2023']","['60', '105']","['0', '0']",[31363.5 10759.5],"['NYSE_AZ', 'vivendi']",tCO2e,"[2023, 2022]",What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,multistep_rank,305,"31363.5, 10759.5"
198,"['NYSE_TTE_2023', 'prosiebensat1-media_2023']","['381', '64']","['0', '0']",5.42,['NYSE_TTE'],,"[2023, 2022]",Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,NYSE_TTE
199,"['heidelberg-materials_2023', 'munich-re_2023']","['374', '47']","['0', '1']",[338421.5    1016.31],"['heidelberg-materials', 'munich-re']",TJ,"[2023, 2022]",Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,multistep_rank,302,"heidelberg-materials, munich-re"
200,"['OTC_CRERF_2023', 'vivendi_2023']","['79', '140']","['0', '0']",10697.5,['vivendi'],tonnes,"[2023, 2022]",Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,multistep_sup,306,vivendi
201,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['132', '139']","['0', '0']",[80.6  13.44],"['OTC_ESOCF', 'OTC_BAYZF']",millions of m3,"[2023, 2022]",What are the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,multistep_rank,303,"80.6, 13.44"
202,"['NYSE_TTE_2023', 'vivendi_2023']","['387', '140']","['3', '0']",[38.77  7.92],"['NYSE_TTE', 'vivendi']",,[2023],What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,multistep_rank,306,"38.77, 7.92"
203,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[ 6.16 35.34],"['OTC_SU', 'NYSE_TTE']",,[2022],What are the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,multistep_rank,306,"6.16, 35.34"
204,"['OTC_ESOCF_2023', 'munich-re_2023']","['137', '46']","['0', '0']",6279575.0,['munich-re'],tCO2e,"[2023, 2022]",Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,multistep_sup,305,munich-re
205,"['OTC_DPSGY_2023', 'OTC_SU_2023']","['3', '310']","['0', '1']",4.02,[],,"[2023, 2022]",What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_mean,302,4.02
206,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['84', '79']","['0', '0']",179.55,[],,[2022],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_mean,305,179.55
207,"['OTC_BAMGF_2023', 'munich-re_2023']","['310', '47']","['0', '0']",4944652.5,['OTC_BAMGF'],m3,"[2023, 2022]",Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,multistep_sup,303,OTC_BAMGF
208,"['NYSE_TTE_2023', 'deutsche-telekom-ag_2023']","['381', '46']","['0', '0']",154500.0,['NYSE_TTE'],GWh,"[2023, 2022, 2021, 2020]",Which company has the highest average energy consumed in the last 4 years among the following companies in GWh?,multistep_sup,302,NYSE_TTE
209,"['NYSE_TTE_2023', 'deutsche-telekom-ag_2023']","['381', '46']","['0', '0']",[154500.  12915.],"['NYSE_TTE', 'deutsche-telekom-ag']",GWh,"[2023, 2022, 2021, 2020]",What are the top 2 highest values of average energy consumed in the last 4 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"154500.0, 12915.0"
210,"['NASDAQ_DASTY_2023', 'vivendi_2023']","['141', '105']","['0', '0']",1.86,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,1.86
211,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['84', '79']","['0', '0']",13.86,['OTC_ADDDF'],million mt CO2e,"[2023, 2022]",What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in million mt CO2e?,multistep_sup,305,13.86
212,"['OTC_ESOCF_2023', 'OTC_RWNEF_2023']","['137', '79']","['0', '0']",173.81,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,173.81
213,"['axa_2023', 'vivendi_2023']","['179', '105']","['0', '0']",[10759.5 21490. ],"['vivendi', 'axa']",tCO2eq,"[2023, 2022]",Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,multistep_rank,305,"vivendi, axa"
214,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023']","['141', '84']","['0', '0']",[ 4327.  21817.5],"['NASDAQ_DASTY', 'OTC_ADDDF']",tCO2-eq,"[2023, 2022]",Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2-eq?,multistep_rank,305,"NASDAQ_DASTY, OTC_ADDDF"
215,"['NYSE_AZ_2023', 'munich-re_2023']","['60', '46']","['0', '0']",3086777,['munich-re'],tCO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,3086777
216,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023']","['141', '63']","['0', '0']",3.85,[],,"[2023, 2022]",What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,multistep_mean,305,3.85
217,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",[ 3751. 47652.],"['vivendi', 'heidelberg-materials']",tons,"[2023, 2022]",Which companies have the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,multistep_rank,306,"vivendi, heidelberg-materials"
218,"['OTC_DPSGY_2023', 'heidelberg-materials_2023']","['3', '374']","['0', '0']",10.52,[],,[2023],What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_mean,302,10.52
219,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['132', '139']","['0', '0']",1.8,['OTC_BAYZF'],,"[2023, 2022]",Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,multistep_sup,303,OTC_BAYZF
220,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",35.09,['vivendi'],,[2022],Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,multistep_sup,306,vivendi
221,"['OTC_ADDDF_2023', 'munich-re_2023']","['84', '46']","['0', '0']",7799933.0,['OTC_ADDDF'],tCO2e,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,multistep_sup,305,OTC_ADDDF
222,"['OTC_BAMGF_2023', 'OTC_ESOCF_2023']","['310', '139']","['0', '0']",[ 9.89 80.6 ],"['OTC_BAMGF', 'OTC_ESOCF']",millions of m3,"[2023, 2022]",Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,multistep_rank,303,"OTC_BAMGF, OTC_ESOCF"
223,"['NYSE_TTE_2023', 'prosiebensat1-media_2023']","['381', '64']","['0', '0']",5.42,['NYSE_TTE'],,"[2023, 2022]",What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,5.42
224,"['NYSE_TTE_2023', 'vivendi_2023']","['387', '140']","['3', '0']",[38.77  7.92],"['NYSE_TTE', 'vivendi']",,[2023],Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,multistep_rank,306,"NYSE_TTE, vivendi"
225,"['NYSE_TTE_2023', 'heidelberg-materials_2023']","['381', '374']","['0', '0']",1.9,['heidelberg-materials'],,"[2023, 2022]",Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,multistep_sup,302,heidelberg-materials
226,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",[4.000e-02 7.365e+01],"['munich-re', 'OTC_RWNEF']",million mt CO2e,"[2023, 2022]",What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in million mt CO2e?,multistep_rank,305,"0.04, 73.65"
227,"['munich-re_2023', 'prosiebensat1-media_2023']","['47', '64']","['1', '0']",66.35,['prosiebensat1-media'],GWh,"[2023, 2022]",What is the lowest total energy consumption over the last 2 years among the following companies in GWh?,multistep_sup,302,66.35
228,"['axa_2023', 'vivendi_2023']","['179', '105']","['0', '0']",[21490.  10759.5],"['axa', 'vivendi']",tCO2eq,"[2023, 2022]",What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2eq?,multistep_rank,305,"21490.0, 10759.5"
229,"['OTC_SU_2023', 'vivendi_2023']","['309', '140']","['0', '0']",25.97,['vivendi'],,[2022],What is the highest percentage of hazardous waste generated in 2022 among the following companies?,multistep_sup,306,25.97
230,"['axa_2023', 'vivendi_2023']","['179', '105']","['0', '0']",[10759.5 21490. ],"['vivendi', 'axa']",tCO2eq,"[2023, 2022]",What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,multistep_rank,305,"10759.5, 21490.0"
